Date,BDT_USD
7/8/2023 23:58:00,106.1535
7/9/2023 23:58:00,106.1535
7/10/2023 23:58:00,106.9654
7/11/2023 23:58:00,107.3286
7/12/2023 23:58:00,106.1283
7/13/2023 23:58:00,107.1345
7/14/2023 23:58:00,107.1103
7/15/2023 23:58:00,106.9031
7/17/2023 23:58:00,107.1514
7/18/2023 23:58:00,106.9674
7/19/2023 23:58:00,106.9707
7/20/2023 23:58:00,106.947
7/21/2023 23:58:00,106.9544
7/22/2023 23:58:00,106.8583
7/23/2023 23:58:00,106.8583
7/24/2023 23:58:00,106.8618
7/25/2023 23:58:00,106.9184
7/26/2023 23:58:00,106.9589
7/27/2023 23:58:00,106.9342
7/28/2023 23:58:00,106.7381
7/29/2023 23:58:00,106.4649
7/30/2023 23:58:00,106.4649
7/31/2023 23:58:00,106.9523
8/1/2023 23:58:00,106.9345
8/2/2023 23:58:00,107.9688
8/3/2023 23:58:00,107.3064
8/4/2023 23:58:00,107.3821
8/5/2023 23:58:00,106.5524
8/6/2023 23:58:00,106.6636
8/7/2023 23:58:00,107.6734
8/8/2023 23:58:00,107.7798
8/9/2023 23:58:00,107.8239
8/10/2023 23:58:00,107.8174
8/11/2023 23:58:00,107.8183
8/12/2023 23:58:00,108.1034
8/13/2023 23:58:00,108.2248
8/14/2023 23:58:00,107.8734
8/15/2023 23:58:00,107.8154
8/16/2023 23:58:00,107.8214
8/17/2023 23:58:00,107.7769
8/19/2023 23:58:00,107.515
8/20/2023 23:58:00,107.515
8/21/2023 23:58:00,107.7312
8/22/2023 23:58:00,107.5957
8/23/2023 23:58:00,107.7748
8/24/2023 23:58:00,107.589
8/25/2023 23:58:00,107.5265
8/26/2023 23:58:00,107.646
8/27/2023 23:58:00,107.646
8/28/2023 23:58:00,107.5976
8/29/2023 23:58:00,107.7606
8/30/2023 23:58:00,107.677
8/31/2023 23:58:00,107.6037
9/1/2023 23:58:00,107.5988
9/2/2023 23:58:00,108.0806
9/4/2023 23:58:00,108.3584
9/5/2023 23:58:00,108.245
9/6/2023 23:58:00,107.9907
9/7/2023 23:58:00,108.0324
9/8/2023 23:58:00,108.05
9/10/2023 23:58:00,107.9386
9/11/2023 23:58:00,107.9167
9/12/2023 23:58:00,108.0968
9/13/2023 23:58:00,108.0985
9/14/2023 23:58:00,108.0658
9/15/2023 23:58:00,108.0652
9/16/2023 23:58:00,107.884
9/18/2023 23:58:00,108.0478
9/19/2023 23:58:00,108.0763
9/20/2023 23:58:00,108.1205
9/21/2023 23:58:00,108.1287
9/22/2023 23:58:00,108.0365
9/23/2023 23:58:00,107.6685
