Product,Avg Actual,Avg Predicted,RMSE,MAE,MAPE,Samples
POV001L24P,51977.857142857145,51320.664,1673.7748507244655,1452.943638392857,2.834744139437117,7
SOS001L12P,162992.4995471014,157007.03,6797.390051323932,5985.463832815714,3.637623864939682,7
POV500M24P,28459.14285714286,27613.533,1702.225785006066,1484.984375,5.253473130280452,7
SOS500M24P,61972.85714285716,64637.043,4463.580379567216,3436.3415178571354,5.703648216557421,7
SOS005L04P,147832.07142857142,155899.92,11040.73870496591,8222.707589285714,5.75503887133735,7
SOS002L09P,112203.85370945481,112926.75,10705.159065968766,7503.5881070997275,6.941149032193546,7
SOS003L04P,23241.25,25162.861,2316.194159577987,1921.6124441964296,8.416677599733815,7
ATN01K24P,108835.31385714286,99612.17,9732.91932323305,9223.141982142859,8.551725883234063,7
AT5X5K,20746.17142857143,22804.41,2610.3121148325195,2058.23872767857,10.39335421208227,7
MAR01K24P,18568.476714285713,21812.637,3404.619707099795,3244.1588883928566,17.82662822764349,7
POP001L12P,26536.118644067796,18325.88,17135.28667872289,11708.331865730932,36.3415622545445,118
